target_text,search_text,body_type
3192,3192 A'Hearn,3192 A'Hearn,asteroid
3654,3654 AAS,3654 AAS,asteroid
8900,8900 AAVSO,8900 AAVSO,asteroid
8721,8721 AMOS,8721 AMOS,asteroid
40023,40023 ANPCEN,40023 ANPCEN,asteroid
9996,9996 ANS,9996 ANS,asteroid
132524,132524 APL,132524 APL,asteroid
13830,13830 ARLT,13830 ARLT,asteroid
31531,31531 ARRL,31531 ARRL,asteroid
3568,3568 ASCII,3568 ASCII,asteroid
2848,2848 ASP,2848 ASP,asteroid
274835,274835 Aachen,274835 Aachen,asteroid
20813,20813 Aakashshah,20813 Aakashshah,asteroid
26557,26557 Aakritijain,26557 Aakritijain,asteroid
28698,28698 Aakshi,28698 Aakshi,asteroid
28828,28828 Aalamiharandi,28828 Aalamiharandi,asteroid
33181,33181 Aalokpatwa,33181 Aalokpatwa,asteroid
677,677 Aaltje,677 Aaltje,asteroid
2676,2676 Aarhus,2676 Aarhus,asteroid
129100,129100 Aaronammons,129100 Aaronammons,asteroid
22656,22656 Aaronburrows,22656 Aaronburrows,asteroid
25677,25677 Aaronenten,25677 Aaronenten,asteroid
11451,11451 Aarongolden,11451 Aarongolden,asteroid
23113,23113 Aaronhakim,23113 Aaronhakim,asteroid
12553,12553 Aaronritter,12553 Aaronritter,asteroid
13928,13928 Aaronrogers,13928 Aaronrogers,asteroid
21933,21933 Aaronrozon,21933 Aaronrozon,asteroid
29812,29812 Aaronsolomon,29812 Aaronsolomon,asteroid
3277,3277 Aaronson,3277 Aaronson,asteroid
33448,33448 Aaronyeiser,33448 Aaronyeiser,asteroid
9836,9836 Aarseth,9836 Aarseth,asteroid
2366,2366 Aaryn,2366 Aaryn,asteroid
864,864 Aase,864 Aase,asteroid
2678,2678 Aavasaksa,2678 Aavasaksa,asteroid
274302,274302 Abahazi,274302 Abahazi,asteroid
4466,4466 Abai,4466 Abai,asteroid
2722,2722 Abalakin,2722 Abalakin,asteroid
1581,1581 Abanderada,1581 Abanderada,asteroid
3480,3480 Abante,3480 Abante,asteroid
4263,4263 Abashiri,4263 Abashiri,asteroid
1390,1390 Abastumani,1390 Abastumani,asteroid
5224,5224 Abbe,5224 Abbe,asteroid
17023,17023 Abbott,17023 Abbott,asteroid
31631,31631 Abbywilliams,31631 Abbywilliams,asteroid
249010,249010 Abdel-Samad,249010 Abdel-Samad,asteroid
15262,15262 Abderhalden,15262 Abderhalden,asteroid
22638,22638 Abdulla,22638 Abdulla,asteroid
21483,21483 Abdulrasool,21483 Abdulrasool,asteroid
294600,294600 Abedinabedin,294600 Abedinabedin,asteroid
5379,5379 Abehiroshi,5379 Abehiroshi,asteroid
25410,25410 Abejar,25410 Abejar,asteroid
7428,7428 Abekuniomi,7428 Abekuniomi,asteroid
3449,3449 Abell,3449 Abell,asteroid
28829,28829 Abelsky,28829 Abelsky,asteroid
8926,8926 Abemasanao,8926 Abemasanao,asteroid
13624,13624 Abeosamu,13624 Abeosamu,asteroid
5677,5677 Aberdonia,5677 Aberdonia,asteroid
12787,12787 Abetadashi,12787 Abetadashi,asteroid
2646,2646 Abetti,2646 Abetti,asteroid
9172,9172 Abhramu,9172 Abhramu,asteroid
21411,21411 Abifraeman,21411 Abifraeman,asteroid
15559,15559 Abigailhines,15559 Abigailhines,asteroid
25422,25422 Abigreene,25422 Abigreene,asteroid
24838,24838 Abilunon,24838 Abilunon,asteroid
2671,2671 Abkhazia,2671 Abkhazia,asteroid
5175,5175 Ables,5175 Ables,asteroid
456,456 Abnoba,456 Abnoba,asteroid
34259,34259 Abprabhakaran,34259 Abprabhakaran,asteroid
19488,19488 Abramcoley,19488 Abramcoley,asteroid
9532,9532 Abramenko,9532 Abramenko,asteroid
3409,3409 Abramov,3409 Abramov,asteroid
24520,24520 Abramson,24520 Abramson,asteroid
32056,32056 Abrarnadroo,32056 Abrarnadroo,asteroid
21850,21850 Abshir,21850 Abshir,asteroid
6805,6805 Abstracta,6805 Abstracta,asteroid
9423,9423 Abt,9423 Abt,asteroid
28831,28831 Abu-Alshaikh,28831 Abu-Alshaikh,asteroid
23768,23768 Abu-Rmaileh,23768 Abu-Rmaileh,asteroid
31466,31466 Abualhassan,31466 Abualhassan,asteroid
34038,34038 Abualragheb,34038 Abualragheb,asteroid
23587,23587 Abukumado,23587 Abukumado,asteroid
79152,79152 Abukumagawa,79152 Abukumagawa,asteroid
16413,16413 Abulghazi,16413 Abulghazi,asteroid
151,151 Abundantia,151 Abundantia,asteroid
110300,110300 Abusimbel,110300 Abusimbel,asteroid
8652,8652 Acacia,8652 Acacia,asteroid
19524,19524 Acaciacoleman,19524 Acaciacoleman,asteroid
829,829 Academia,829 Academia,asteroid
5547,5547 Acadiau,5547 Acadiau,asteroid
2594,2594 Acamas,2594 Acamas,asteroid
6349,6349 Acapulco,6349 Acapulco,asteroid
8833,8833 Acer,8833 Acer,asteroid
21501,21501 Acevedo,21501 Acevedo,asteroid
5126,5126 Achaemenides,5126 Achaemenides,asteroid
1150,1150 Achaia,1150 Achaia,asteroid
24121,24121 Achandran,24121 Achandran,asteroid
5144,5144 Achates,5144 Achates,asteroid
588,588 Achilles,588 Achilles,asteroid
117430,117430 Achosyx,117430 Achosyx,asteroid
9084,9084 Achristou,9084 Achristou,asteroid
22191,22191 Achucarro,22191 Achucarro,asteroid
6522,6522 Aci,6522 Aci,asteroid
12628,12628 Ackworthorr,12628 Ackworthorr,asteroid
1821,1821 Aconcagua,1821 Aconcagua,asteroid
29747,29747 Acorlando,29747 Acorlando,asteroid
18796,18796 Acosta,18796 Acosta,asteroid
28779,28779 Acthieke,28779 Acthieke,asteroid
12238,12238 Actor,12238 Actor,asteroid
523,523 Ada,523 Ada,asteroid
7803,7803 Adachi,7803 Adachi,asteroid
330,330 Adalberta,330 Adalberta,asteroid
232923,232923 Adalovelace,232923 Adalovelace,asteroid
6461,6461 Adam,6461 Adam,asteroid
172525,172525 Adamblock,172525 Adamblock,asteroid
28554,28554 Adambowman,28554 Adambowman,asteroid
26737,26737 Adambradley,26737 Adambradley,asteroid
4535,4535 Adamcarolla,4535 Adamcarolla,asteroid
13286,13286 Adamchauvin,13286 Adamchauvin,asteroid
10588,10588 Adamcrandall,10588 Adamcrandall,asteroid
11685,11685 Adamcurry,11685 Adamcurry,asteroid
23306,23306 Adamfields,23306 Adamfields,asteroid
6146,6146 Adamkrafft,6146 Adamkrafft,asteroid
15421,15421 Adammalin,15421 Adammalin,asteroid
34127,34127 Adamnayak,34127 Adamnayak,asteroid
6537,6537 Adamovich,6537 Adamovich,asteroid
